,Time,Heart Rate
6311,12:46:11,85
6312,12:46:21,82
6313,12:46:26,80
6314,12:46:36,81
6315,12:46:41,80
6316,12:46:51,78
6317,12:47:01,80
6318,12:47:06,81
6319,12:47:11,81
6320,12:47:21,82
6321,12:47:26,79
6322,12:47:31,78
6323,12:47:46,77
6324,12:47:51,88
6325,12:47:56,90
6326,12:48:06,88
6327,12:48:11,87
6328,12:48:16,85
6329,12:48:21,83
6330,12:48:26,82
6331,12:48:31,80
6332,12:48:36,77
6333,12:48:46,78
6334,12:48:51,80
6335,12:49:01,77
6336,12:49:11,74
6337,12:49:16,73
6338,12:49:26,72
6339,12:49:31,71
6340,12:49:41,72
6341,12:49:51,71
6342,12:50:01,72
6343,12:50:06,71
6344,12:50:11,70
6345,12:50:16,68
6346,12:50:21,72
6347,12:50:26,73
6348,12:50:41,73
6349,12:50:56,73
6350,12:51:01,74
6351,12:51:16,74
6352,12:51:21,73
6353,12:51:26,71
6354,12:51:41,71
6355,12:51:51,75
6356,12:52:06,75
6357,12:52:11,79
6358,12:52:16,82
6359,12:52:21,83
6360,12:52:31,82
6361,12:52:41,83
6362,12:52:56,83
6363,12:53:11,83
6364,12:53:21,85
6365,12:53:26,85
6366,12:53:36,84
6367,12:53:41,82
6368,12:53:51,83
6369,12:54:00,84
6370,12:54:10,82
6371,12:54:15,80
6372,12:54:20,77
6373,12:54:25,74
6374,12:54:40,74
6375,12:54:45,74
6376,12:54:50,75
6377,12:55:00,76
6378,12:55:05,77
6379,12:55:10,81
6380,12:55:15,82
6381,12:55:20,82
6382,12:55:30,83
6383,12:55:35,81
6384,12:55:45,80
6385,12:55:50,78
6386,12:56:00,79
6387,12:56:05,78
6388,12:56:15,76
6389,12:56:20,71
6390,12:56:35,71
6391,12:56:45,72
6392,12:56:50,71
6393,12:57:00,72
6394,12:57:05,69
6395,12:57:10,68
6396,12:57:15,71
6397,12:57:20,69
6398,12:57:25,68
6399,12:57:30,69
6400,12:57:35,72
6401,12:57:40,72
6402,12:57:55,72
6403,12:58:00,75
6404,12:58:05,77
6405,12:58:10,78
6406,12:58:25,77
6407,12:58:30,78
6408,12:58:45,76
6409,12:58:50,77
6410,12:58:55,78
6411,12:59:00,77
6412,12:59:05,78
6413,12:59:10,76
6414,12:59:15,78
6415,12:59:20,80
6416,12:59:35,80
6417,12:59:45,79
6418,12:59:55,81
6419,13:00:00,86
6420,13:00:15,88
6421,13:00:20,89
6422,13:00:35,91
6423,13:00:40,91
6424,13:00:45,91
6425,13:00:50,92
6426,13:00:55,92
6427,13:01:00,91
6428,13:01:05,90
6429,13:01:10,89
6430,13:01:15,88
6431,13:01:20,89
6432,13:01:25,88
6433,13:01:35,87
6434,13:01:40,86
6435,13:01:45,84
6436,13:01:55,82
6437,13:02:00,79
6438,13:02:15,80
6439,13:02:20,79
6440,13:02:25,76
6441,13:02:30,74
6442,13:02:35,72
6443,13:02:40,69
6444,13:02:50,70
6445,13:02:55,76
6446,13:03:10,76
6447,13:03:20,77
6448,13:03:30,79
6449,13:03:35,84
6450,13:03:40,85
6451,13:03:55,84
6452,13:04:00,83
6453,13:12:00,70
6454,13:12:15,69
6455,13:12:20,68
6456,13:12:30,71
6457,13:12:35,79
6458,13:12:40,77
6459,13:12:45,76
6460,13:12:50,78
6461,13:12:55,79
6462,13:13:05,78
6463,13:13:10,77
6464,13:13:15,76
6465,13:13:30,74
6466,13:13:45,75
6467,13:13:50,76
6468,13:14:05,76
6469,13:14:15,75
6470,13:14:20,74
6471,13:14:25,71
6472,13:14:30,72
6473,13:14:45,72
6474,13:14:50,74
6475,13:14:55,75
6476,13:15:05,74
6477,13:15:10,73
6478,13:15:15,71
6479,13:15:20,70
6480,13:15:25,69
6481,13:15:30,70
6482,13:15:35,70
6483,13:15:40,69
6484,13:15:45,72
6485,13:15:50,80
6486,13:15:55,81
6487,13:16:05,84
6488,13:16:10,85
6489,13:16:25,85
6490,13:16:40,84
6491,13:16:55,83
6492,13:17:00,82
6493,13:17:10,81
6494,13:17:15,79
6495,13:17:20,75
6496,13:17:25,74
6497,13:17:30,75
6498,13:17:35,73
6499,13:17:40,72
6500,13:17:45,71
6501,13:17:50,72
6502,13:17:55,73
6503,13:18:00,75
6504,13:18:05,77
6505,13:18:10,78
6506,13:18:15,78
6507,13:18:30,80
6508,13:18:35,82
6509,13:18:45,80
6510,13:18:50,79
6511,13:18:55,78
6512,13:19:10,80
6513,13:19:20,79
6514,13:19:30,80
6515,13:19:35,77
6516,13:19:40,75
6517,13:19:45,76
6518,13:19:50,77
6519,13:19:55,83
6520,13:20:00,85
6521,13:20:15,81
6522,13:20:20,79
6523,13:20:35,83
6524,13:20:40,97
6525,13:20:45,99
6526,13:20:50,100
6527,13:20:55,101
6528,13:21:00,102
6529,13:21:05,103
6530,13:21:20,103
6531,13:21:21,103
6532,13:21:26,102
6533,13:21:41,101
6534,13:21:51,102
6535,13:21:56,103
6536,13:22:01,103
6537,13:22:06,104
6538,13:22:16,105
6539,13:22:26,103
6540,13:22:31,100
6541,13:22:36,97
6542,13:22:41,94
6543,13:22:51,93
6544,13:22:56,92
6545,13:23:06,93
6546,13:23:11,94
6547,13:23:16,97
6548,13:23:21,98
6549,13:23:31,99
6550,13:23:36,101
6551,13:23:41,102
6552,13:23:46,94
6553,13:23:51,92
6554,13:23:56,91
6555,13:24:01,90
6556,13:24:11,91
6557,13:24:16,94
6558,13:24:21,94
6559,13:24:31,95
6560,13:24:41,96
6561,13:24:46,95
6562,13:24:51,94
6563,13:25:01,93
6564,13:25:06,92
6565,13:25:11,91
6566,13:25:16,90
6567,13:25:21,79
6568,13:25:26,75
6569,13:25:31,76
6570,13:25:36,76
6571,13:25:41,78
6572,13:25:56,79
6573,13:26:11,81
6574,13:26:16,83
6575,13:26:21,86
6576,13:26:26,88
6577,13:26:31,93
6578,13:26:36,96
6579,13:26:41,101
6580,13:26:46,104
6581,13:26:51,103
6582,13:26:56,102
6583,13:27:01,104
6584,13:27:06,107
6585,13:27:11,108
6586,13:27:16,109
6587,13:27:26,108
6588,13:27:31,107
6589,13:27:36,105
6590,13:27:41,103
6591,13:27:51,101
6592,13:27:56,100
6593,13:28:01,104
6594,13:28:11,99
6595,13:28:16,94
6596,13:28:21,92
6597,13:28:26,93
6598,13:28:31,94
6599,13:28:36,96
6600,13:28:41,93
6601,13:28:46,91
6602,13:28:51,89
6603,13:28:56,87
6604,13:29:01,86
6605,13:29:11,85
6606,13:29:16,83
6607,13:29:21,81
6608,13:29:26,84
6609,13:29:36,85
6610,13:29:46,84
6611,13:29:51,84
6612,13:30:06,85
6613,13:30:11,86
6614,13:30:16,84
6615,13:30:26,83
6616,13:30:31,82
6617,13:30:41,81
6618,13:30:46,80
6619,13:31:01,81
6620,13:31:06,82
6621,13:31:16,81
6622,13:31:21,80
6623,13:31:36,80
6624,13:31:46,79
6625,13:32:01,81
6626,13:32:06,84
6627,13:32:11,84
6628,13:32:16,84
6629,13:32:21,85
6630,13:32:26,86
6631,13:32:31,84
6632,13:32:36,80
6633,13:32:41,76
6634,13:32:46,74
6635,13:32:51,73
6636,13:32:56,70
6637,13:33:01,67
6638,13:33:06,65
6639,13:33:11,64
6640,13:33:16,62
6641,13:33:26,63
6642,13:33:31,64
6643,13:33:41,65
6644,13:33:46,68
6645,13:33:51,70
6646,13:33:56,71
6647,13:34:01,73
6648,13:34:06,73
6649,13:34:11,74
6650,13:34:16,76
6651,13:34:21,78
6652,13:34:26,81
6653,13:34:31,80
6654,13:34:36,79
6655,13:34:46,82
6656,13:34:51,84
