,Time,Calories
165,02:45:00,1.2547999620437622
166,02:46:00,1.2547999620437622
167,02:47:00,1.2547999620437622
168,02:48:00,1.2547999620437622
169,02:49:00,1.2547999620437622
170,02:50:00,1.2547999620437622
171,02:51:00,1.2547999620437622
172,02:52:00,1.2547999620437622
173,02:53:00,1.2547999620437622
174,02:54:00,1.2547999620437622
175,02:55:00,1.2547999620437622
176,02:56:00,1.2547999620437622
177,02:57:00,1.2547999620437622
178,02:58:00,1.2547999620437622
179,02:59:00,1.2547999620437622
180,03:00:00,1.2547999620437622
181,03:01:00,1.2547999620437622
182,03:02:00,1.2547999620437622
183,03:03:00,1.2547999620437622
184,03:04:00,1.2547999620437622
185,03:05:00,1.2547999620437622
186,03:06:00,1.2547999620437622
187,03:07:00,1.2547999620437622
188,03:08:00,1.2547999620437622
